Cuenca;2013;2;Azuay;Cuenca;Cuenca;Ecuador;Clinica General;Clinicas Generales sin especialidad;Privados con Fines de Lucro;Sector Privado con fines de lucro;Si;7590;No;0;Si;7590;3795;1890;1905;7590;No;No;No;No;No;0;No;0;Urbana;74;0;9;1;2;6;1;4;3;1;1;2;2;2;0;1;3
Cuenca;2013;3;Azuay;Cuenca;Cuenca;Ecuador;Clinica General;Clinicas Generales sin especialidad;Privados con Fines de Lucro;Sector Privado con fines de lucro;Si;5760;No;0;Si;5760;0;0;0;0;Si;No;No;Si;No;0;No;0;Urbana;63;1;4;2;5;3;1;1;3;1;1;2;1;3;1;1;1
Cuenca;2013;4;Azuay;Cuenca;Cuenca;Ecuador;Clinica General;Clinicas Generales sin especialidad;Privados con Fines de Lucro;Sector Privado con fines de lucro;Si;9409;No;0;Si;9409;9409;0;0;9409;Si;No;No;Si;No;0;No;0;Urbana;108;0;8;3;5;5;7;7;7;0;3;5;1;4;0;1;4
Cuenca;2013;6;Azuay;Cuenca;Cuenca;Ecuador;Hospital General;Agudo;Ministerio de Salud Pública;Sector Público;Si;96;No;0;Si;96;96;0;0;96;Si;Si;Si;3;No;0;Si;96;Urbana;156;43;8;2;12;14;3;4;4;2;2;2;1;2;1;0;2
Cuenca;2013;7;Azuay;Cuenca;Cuenca;Ecuador;Hospital de Especialidades;Agudo;Instituto Ecuatoriano de Seguridad Social;Sector Público;Si;98880;No;0;Si;98880;89174;8970;736;98880;Si;Si;Si;3;No;0;No;0;Urbana;213;25;6;2;9;18;5;3;6;2;2;4;0;4;1;0;4
Cuenca;2013;8;Azuay;Cuenca;Cuenca;Ecuador;Hospital General;Agudo;Ministerio de Defensa Nacional;Sector Público;Si;3778;No;0;Si;3778;3227;551;0;3778;No;Si;No;Si;Si;3778;No;0;Urbana;35;2;1;0;2;2;2;1;2;1;1;1;0;1;0;0;1
Cuenca;2013;10;Azuay;Cuenca;Cuenca;Ecuador;Hospital Básico;Sin Tipo;Ministerio de Salud Pública;Sector Público;Si;1794;No;0;Si;1794;1690;104;0;1794;No;No;No;No;No;0;No;0;Urbana;22;8;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0
Cuenca;2013;11;Azuay;Cuenca;Cuenca;Ecuador;Hospital Psiquiátrico y Sanatorio de Alcóholicos;Crónico;Privados sin Fines de Lucro;Sector Privado sin fines de lucro;Si;111;No;0;Si;111;75;36;0;111;Si;Si;No;2;No;0;Si;111;Urbana;13;2;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0
Giron;2013;12;Azuay;Giron;Giron;Ecuador;Hospital Básico;Sin Tipo;Ministerio de Salud Pública;Sector Público;Si;4458;No;0;Si;4458;3566;892;0;4458;Si;No;Si;2;Si;4458;No;0;Urbana;24;4;1;0;2;2;0;0;0;0;0;1;0;0;0;0;0
Gualaceo;2013;13;Azuay;Gualaceo;Gualaceo;Ecuador;Hospital Básico;Sin Tipo;Ministerio de Salud Pública;Sector Público;Si;1573;No;0;Si;1573;1500;69;4;1573;Si;Si;Si;3;Si;1500;No;0;Urbana;28;6;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0
Santa Isabel;2013;14;Azuay;Santa Isabel;Santa Isabel;Ecuador;Hospital Básico;Sin Tipo;Ministerio de Salud Pública;Sector Público;Si;1058;No;0;Si;1058;529;529;0;1058;Si;No;No;Si;No;0;No;0;Urbana;24;4;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0
