2013;Hospitl del dia;2;Azuay;Cuenca;Cuenca;Clinica General;Clinicas Generales sin especialidad;Privados con Fines de Lucro;Sector Privado con fines de lucro;peligrosos;Si;7590;No;0;Si;7590;3795;1890;1905;7590;No;No;No;No;No;0;No;0;Urbana;http://catalogo.datosabiertos.gob.ec/dataset/residuos-peligrosos-en-establecimientos-de-salud-inec
2013;Hospitl del dia;3;Azuay;Cuenca;Cuenca;Clinica General;Clinicas Generales sin especialidad;Privados con Fines de Lucro;Sector Privado con fines de lucro;peligrosos;Si;5760;No;0;Si;5760;0;0;0;0;Si;No;No;Si;No;0;No;0;Urbana;http://catalogo.datosabiertos.gob.ec/dataset/residuos-peligrosos-en-establecimientos-de-salud-inec
2013;Hospitl del dia;4;Azuay;Cuenca;Cuenca;Clinica General;Clinicas Generales sin especialidad;Privados con Fines de Lucro;Sector Privado con fines de lucro;peligrosos;Si;9409;No;0;Si;9409;9409;0;0;9409;Si;No;No;Si;No;0;No;0;Urbana;http://catalogo.datosabiertos.gob.ec/dataset/residuos-peligrosos-en-establecimientos-de-salud-inec
2013;Hospitl del dia;6;Azuay;Cuenca;Cuenca;Hospital General;Agudo;Ministerio de Salud Pública;Sector Publico;peligrosos;Si;96;No;0;Si;96;96;0;0;96;Si;Si;Si;3;No;0;Si;96;Urbana;http://catalogo.datosabiertos.gob.ec/dataset/residuos-peligrosos-en-establecimientos-de-salud-inec
2013;Hospitl del dia;7;Azuay;Cuenca;Cuenca;Hospital de Especialidades;Agudo;Instituto Ecuatoriano de Seguridad Social;Sector Publico;peligrosos;Si;98880;No;0;Si;98880;89174;8970;736;98880;Si;Si;Si;3;No;0;No;0;Urbana;http://catalogo.datosabiertos.gob.ec/dataset/residuos-peligrosos-en-establecimientos-de-salud-inec
2013;Hospitl del dia;8;Azuay;Cuenca;Cuenca;Hospital General;Agudo;Ministerio de Defensa Nacional;Sector Publico;peligrosos;Si;3778;No;0;Si;3778;3227;551;0;3778;No;Si;No;Si;Si;3778;No;0;Urbana;http://catalogo.datosabiertos.gob.ec/dataset/residuos-peligrosos-en-establecimientos-de-salud-inec
2013;Hospitl del dia;10;Azuay;Cuenca;Cuenca;Hospital Basico;Sin Tipo;Ministerio de Salud Publica;Sector Publico;peligrosos;Si;1794;No;0;Si;1794;1690;104;0;1794;No;No;No;No;No;0;No;0;Urbana;http://catalogo.datosabiertos.gob.ec/dataset/residuos-peligrosos-en-establecimientos-de-salud-inec
2013;Hospitl del dia;11;Azuay;Cuenca;Cuenca;Hospital Psiquiatrico y Sanatorio de Alcoholicos;Cronico;Privados sin Fines de Lucro;Sector Privado sin fines de lucro;peligrosos;Si;111;No;0;Si;111;75;36;0;111;Si;Si;No;2;No;0;Si;111;Urbana;http://catalogo.datosabiertos.gob.ec/dataset/residuos-peligrosos-en-establecimientos-de-salud-inec
2013;Hospitl del dia;12;Azuay;Giron;Giron;Hospital Basico;Sin Tipo;Ministerio de Salud Publica;Sector Publico;peligrosos;Si;4458;No;0;Si;4458;3566;892;0;4458;Si;No;Si;2;Si;4458;No;0;Urbana;http://catalogo.datosabiertos.gob.ec/dataset/residuos-peligrosos-en-establecimientos-de-salud-inec
2013;Hospitl del dia;13;Azuay;Gualaceo;Gualaceo;Hospital Basico;Sin Tipo;Ministerio de Salud Publica;Sector Publico;peligrosos;Si;1573;No;0;Si;1573;1500;69;4;1573;Si;Si;Si;3;Si;1500;No;0;Urbana;http://catalogo.datosabiertos.gob.ec/dataset/residuos-peligrosos-en-establecimientos-de-salud-inec
2013;Hospitl del dia;14;Azuay;Santa Isabel;Santa Isabel;Hospital Basico;Sin Tipo;Ministerio de Salud Publica;Sector Publico;peligrosos;Si;1058;No;0;Si;1058;529;529;0;1058;Si;No;No;Si;No;0;No;0;Urbana;http://catalogo.datosabiertos.gob.ec/dataset/residuos-peligrosos-en-establecimientos-de-salud-inec
2013;Hospitl del dia;15;Azuay;Sigsig;Sigsig;Hospital Basico;Sin Tipo;Ministerio de Salud Publica;Sector Publico;peligrosos;Si;468;No;0;Si;468;329;139;0;468;Si;No;No;Si;No;0;No;0;Urbana;http://catalogo.datosabiertos.gob.ec/dataset/residuos-peligrosos-en-establecimientos-de-salud-inec
2013;Hospitl del dia;16;Azuay;Paute;Paute;Hospital Basico;Sin Tipo;Ministerio de Salud Publica;Sector Publico;peligrosos;No;0;No;0;No;0;0;0;0;0;No;No;No;No;No;0;No;0;Urbana;http://catalogo.datosabiertos.gob.ec/dataset/residuos-peligrosos-en-establecimientos-de-salud-inec
